Issue key,Summary,Description,Status,Priority,Issue Type,Created,Updated,Assignee,Labels,Components
GNOC-9737,Alert: SMTP Relay - Errors_GITOPS (NSI),"SMTP Relay ErrorsGITOPS At 20251006 07:20 UTC an SMTP Relay ErrorsGITOPS alert was received. Within the event logs there is series of “Host not found” errors that triggered for the lspismtpl02 server host. GNOC reached out to the Infrastructure SMEs to examine and resolve the issue. Current Status 10/10 Infrastructure SME has confirmed with GNOC they are digging deeper into how and why the Splunk events have changed in their error message. Both groups agree that it is not currently customer impacting. Raw Information: Available in the Alert RawOct 6 07:18:01 lspismtpl02 postfix/error[26163]: 0D46A419B2D6: to=< NMXdatateamSWI@semtech.com >, relay=none, delay=0.01, delays=0.01/0/0/0, dsn=4.4.3, status=deferred (delivery temporarily suspended: Host or domain name not found. Name service error for name=semtech.com type=MX: Host not found, try again) Source Splunk Integration Splunk (Splunk) Responders isbunoc , isbuusopsproduction Alias SMTP Relay ErrorsGITOPS Last Updated At Oct 6, 2025 8:20 AM (GMT+00:00) Description Sid:schedulercdingmansearchRMD5f023f6266e2fecefat175973520074468 Source Type:syslog Splunk Server:idxi05ef49997ae9a6d80.sierrawireless.splunkcloud.com Server Host:shi03d55f08b2ef8bb6a Index:main",Completed,P4-Low,Incident,2025-10-06T08:06:00.993+0000,2025-10-10T17:57:38.462+0000,Christopher Dingman,SMTP,Infrastructure
GNOC-7103,Alert Improvement : Location Update thresholds for Each Roaming Partner,"Greetings !!! Many times GNOC receive different P2 alerts , which subsequently ends up with Service degradation for our customers in most of the cases. The opsGenie alert we get shows overall combined KPIs for different Roaming partner. It does not specify which Roaming partner has issues or thresholds not met. So from GNOC perspective we tend to check all Roaming partner KPIs when we receive such alert. If we can have Individual Roaming partner’s Location update threshold set & if we get opsGenie alert specifying which Roaming Partner has issues/threshold not met then it will save us a lot of time. Kindly review the request. ZENOSSLink Example of alerts → PS Update location Ratio too low CS Update location Ratio too low Cancel location update ratio too low etc.",Done,P4-Low,Task,2025-01-28T08:50:40.689+0000,2025-10-10T17:55:04.152+0000,Julien Poisson,"ALERT_IMPROVEMENT, Location_Update, Zenoss",
GNOC-6968,ALERT IMPROVEMENT REQUEST - Kibana Observability for Invers,"Greetings Julien and co: We recently had an issue get reported to us for Invers, where they experienced data connectivity issues on Telefonica Germany. COFI 2862 was brought to our attention from the L2s via a Slack channel. We queried recent OpsGenie Alerts from the 6th through the 8th with Invers and/or kibanaobservability in the message row. No results back in which specified Invers . However, there was one for Synox. Could we configure OpsGenie to alert us specifically for Invers with kibanaobservability at the beginning of the message? Thank you for your help.",Work in progress,P4-Low,Task,2025-01-08T17:29:59.270+0000,2025-10-10T17:45:53.118+0000,Julien Poisson,"ALERT_IMPROVEMENT, Invers_GmbH",
GNOC-5755,Alert Improvement:  Implement Global SMS Alerting (Urgent),During the Semtech 07162024 Global SMS incident there were no SMS alarms with the exception of Birdz (Veolia) Olympic (monitoring) specific alerts.,Work in progress,P3-Medium,Sub-task,2024-07-16T11:17:15.768+0000,2025-10-10T17:20:03.487+0000,Salim Mourabbi,"ALERT_IMPROVEMENT, SMS",Monitoring
GNOC-9791,NAM: Syniverse 10-gig fibers - enable for traffic,Cab is to enable the additional 10 gig fibers we have with Syniverse. No customer impact is expected but incase of issues we thought it was best to notify customers. This is a fortification of our Syniverse connectivity and gives us much greater redundancy. No cab has been added as all the work is on the Synivese side to open traffic. GNOC should monitor NAM PGW traffic during this migration. should also monitor SS7 links to SMSC in NAM to ensure they remain operational. The CAB is for NAM region only and will not impact traffic to EU PGW / EU SS7 / EU Diameter Links.,Canceled,P3-Medium,Change,2025-10-09T11:34:29.027+0000,2025-10-10T17:11:24.996+0000,Kevin Wohlrabe,,
GNOC-5607,Alert Improvement:  P1 MNO Outage Alerting Implementation [Urgent],Executive Leadership is requesting for the Monitoring team to create alarms that reflect complete MNO outages. “ANY MNO outage should be treated as a P[1] irrespective of the size traffic volume…” Leadership is asking for MNO alerting indicators to detect when “no traffic being sent or received”. Limiting the alert monitoring to MNOs with more than 100 Connections. The Monitoring team has committed to assessing this request. P1 MNO Outage Alerting Implementation ANY MNO outage should be treated as a P1 Limiting the alert monitoring to MNOs with more than 100 Connections. See example of this MNO outage can be found in COFI2352 Orange 901 and VPLMN Orange Guinée (61101),Open,P4-Low,Task,2024-06-18T19:01:52.980+0000,2025-10-10T17:11:11.657+0000,Julien Poisson,ALERT_IMPROVEMENT,Monitoring
GNOC-5466,ALERT Improvement: Implement MQTT Data Push Alarms,During the ( 05212024 AirVantage EU Data Push Degradation ) event there were no alarms triggered. Please have the AV Cloud team to create AV Data Push alerts for in Opsgenie.,In review,P3-Medium,Sub-task,2024-05-23T13:37:00.644+0000,2025-10-10T16:52:19.539+0000,Pascal Rieux,"ALERT_IMPROVEMENT, AirVantage",
GNOC-9622,EXT:  Jersey Telecom (Velos) - Email  Requesting Semtech to Address High Volume traffic Authentication requests with Unknown Subscribers errors (NSI),"Jersey Telecom (Velos) Email Requesting Semtech to Address High Volume traffic Authentication requests with Unknown Subscribers errors No Customer Impact On 24th September at 11:13 UTC, GNOC received an email from JT/Velos mentioning they have observed 4530 Semtech IMSIs generating highvolume of authentication traffic with Unknown Subscriber errors. (As per JT they did send us an email on 17th September) . GNOC reached out to SME to address. Current Status: JT (Velos IoT Support) reported 4530 (Semtech) IMSIs generating high volume of authentication requests and receiving Unknown Subscriber Errors . Much of these errors are coming from Deactivated IMSIs. Awaiting feedback from the L3 NEO team… JT/Velos Ticket → IOT42186 Core Support has not supplied an ultimate fix to prevent these IMSIs from generating SAI traffic through JT. Consulted with Asim over the phone, today, 10/7 circa 14:30 to 15:10 and we viewed he timeline for Unknown Sub responses from our HLRs back for 23450 SAIs. Pre9/17 (time of the Frankfurt shutdown during upgrade of hardware racks– 8190 9331 on 9/17…9331 was for the actual shutdown of Telco nodes) displays our HLR regularly sending back Unknown Sub in response to SAIs coming in from JT. Screenshot of the feed based on the Transaction and Cause code are provided below these bullets. Planned start Sep 17, 2025, 1:00 AM Planned end Sep 17, 2025, 1:00 PM Thus, what caught JT’s attention was the resurge of Unknown Subscriber to pre9/17 levels, which averaged around 20k at any given hour during the day. Therefore , JT/Velos IoT needs to provide a timeline before the Frankfurt temporary shutdown on 9/17; based on the PA run again today in Viavi, the droppage in Unknown Sub in response to SAIs didn’t catch their attention, but when traffic returned to normal, what JT interpreted as elevated was actually the levels returning to what they were before 9/17 I just emailed JT/Velos IoT back, and cc’ed Mona, requesting they revisit their captures, but this ti",Open,P4-Low,Problem,2025-09-24T11:22:54.585+0000,2025-10-10T16:36:17.325+0000,Anas Tablieh,"JT, Retired_SIMs, Signaling_Reduction, VelosIoT",MVNO Voice
GNOC-9305,10 to 15digits migration / Rest of Customers - Operation 10/14/2025 -> 10/15/2025 (Matooma 7th week),"ARCEP, Regulatory Body in France requires to move all MSISDN in +33 and used for IOT from 10 to 15 digits format. Objective : After successfully migration of 3 customers, this set of operations target to migrate remaining customers MSISDNs to 15 digits. Target customer list with the migration dates is detailed below: Migration 10 to 15 digits list of customers.xlsx List of customers for 10 to 15 digit Migration.xlsx Migration period: 07/29/2025 10/15/2025 Project Confluence page: 2025 10 to 15 Digit Migration Project Management Office Confluence Sierra Wireless Operations : 10/14/2025 => 14102025MigrationBach.xlsx 10/15/2025 =>",Awaiting implementation,P3-Medium,Change,2025-08-28T13:10:43.471+0000,2025-10-10T16:12:27.346+0000,Michael Criscolo,,
GNOC-9744,Post-Network Change Exposed ongoing apn issue for users through Sparkle on Orange France,"Starting at 16:29 UTC on , GNOC began receiving alerts for a signaling issue on Orange 901. After further investigation, the increase in signaling was from RNA. I have discussed this issue with Minh, and he stated that they made a change for the customer Presence Verte on CAB COFI3629. This caused the RNA on Orange 901, and since these are advanced 3 and advanced 4 Sims, the traffic moved over to Sparkle. According to the SME, when traffic was moved over to Sparkle, the devices were unable to create sessions over LTE, and we observed an increase in purges. We have sent an email to Sparkle to investigate. Current Status: GNOC has reopened this ticket. Anas conducted testing and is still observing issues with Sparkle. He has reengaged Sparkle via email and is awaiting their investigation. GNOC just sent over to Sparkle a relevant pcap, showing the purge come in immediately after the successful ULR; GNOC also included a list of IMSIs and a jpeg file showing the surge in Diameter UE purges. As of 8:10 UTC, COFI ticket 3629 states the block was reversed. Sparkle still has their ticket open (CSFA 00652929 ), and GNOC leadership discussed with Sparkle managers the morning of 10/8. They are escalating with Orange France, and a batch of IMSIs have been shared with Sparkle along with a couple of pcaps revealing the S6 purges. Querying the first 10% of the IMSI list within AV IDed that 24 out of 28 (202 total imsi list) are Presence Verte customers. Purges via Sparkle have decreased drastically but due to the block reversal, we are not likely to capture the S6 purges occur to the degree they transpired yesterday, via Sparkle on Orange 20801 Current Status 10/10 Semtech still has credible reason to believe CSREQs are NOT coming through via Sparkle, originating on Orange France 020801); 10/10 testing (Anas) with 208243092590247 / 222013094590247 revealed successful GTP traffic with internet.swir but not internet.mbqt.net More recent was cut today to tie into open COFI, 3629. The",Work in progress,P4-Low,Incident,2025-10-06T16:42:01.668+0000,2025-10-10T14:44:14.082+0000,Ed Guigou,,
GNOC-9801,SHIFT REPORT: Yash Jadhav - Oct'9 2025,SHIFT REPORT: Yash Jadhav Oct'9 2025,Completed,P5-Lowest,Incident,2025-10-09T23:27:30.663+0000,2025-10-10T13:08:58.772+0000,yjadhav,,
GNOC-9802,"SHIFT REPORT: Arabinda Mishra - Oct 10, 2025","SHIFT REPORT: Arabinda Mishra Oct 10, 2025",Completed,P5-Lowest,Incident,2025-10-10T02:05:52.940+0000,2025-10-10T13:06:27.829+0000,Arabinda Mishra,,
GNOC-9805,Change mtu on vertu APN,MTU pco ipv4 changed at 1500 as per manegemnt request,Completed,P3-Medium,Change,2025-10-10T13:00:22.461+0000,2025-10-10T13:00:44.861+0000,Vladimir Florian Bajan,,
GNOC-9804,Deploy av-ui with template engine dependency change,The AirVantage UI (avui) will be updated to upgrade the Handlebars.js dependency from version 4.0 to version 4.7. This upgrade addresses security vulnerabilities and improves template rendering performance. All template files have been tested to ensure compatibility with the new version.,Manager Approval BAU,P3-Medium,Change,2025-10-10T12:45:57.326+0000,2025-10-10T12:46:55.357+0000,Clément Thirouin,,AirVantage
GNOC-9786,Operation with Risk N° T508174556 impacting Orange's network,"Caution: This email originated outside of Semtech. This is an automatically generated message, please do not reply. To reply, kindly click on the following email address: programmes.travaux@orange.com Tuesday 07/Oct/2025 at 11:16 You MOBIQUITHINGS To NOC SEMTECH Correspondant MobiquiThings GlobalNOC@semtech.com Mourad BENHARKOUS mbenharkous@semtech.com CORRESPONDANT MOBIQUITHINGS mobnoc@sierrawireless.com E. Schippers Correspondant MOBIQUITHINGS eschippers@sierrawireless.com Network Data IP Correspondant MOBIQUITHINGS networkdataip@sierrawireless.com Stéphane Savonitto Correspondant MOBIQUITHINGS ssavonitto@sierrawireless.com GlobalNOC Correspondant MOBIQUITHINGS globalnoc@sierrawireless.com CUSTOMER SUPPORT Correspondant MobiquiThings EMEACustomerSupportTeam@semtech.com Support Technique Correspondant MobiquiThings NamEasttechsupportSWI@semtech.com Us CSC OWF LIMOGES MAZILLE Laetitia, SM quality assistant Phone: Fax: Email: programmes.travaux@orange.com Operation with Risk N° T508174556 impacting Orange's network Hello, As part of improving the quality of our infrastructures, we need to work on our network soon. Characteristics of the operation Type: Operation with Risk Nature: Mobile France Intervention Cause: Evolution Beginning: Thursday 30/Oct/2025 at 09:00 (UTC + 01:00 ) End: Thursday 30/Oct/2025 at 17:00 (UTC + 01:00 ) Duration: Impact: Without disruption Number of impacted services: 1 Comment for operator affected by traffic: Changement sans action nécessaire et sans dégradation ou coupure de service. Perte de résilience sur des associations donc présence d'alarme. Zone géographique concernée : National et International Type équipement touché : SRF3 Changeover without any action required and without degradation or service interruption. Loss of resilience on associations, resulting in alarms. Affected geographic area: National and International Affected equipment type: SRF3 The services concerned by the operation are listed in the table hereafter. . Thanks fo",Awaiting implementation,P3-Medium,Change,2025-10-09T09:57:26.302+0000,2025-10-10T11:43:39.624+0000,yjadhav,Orange,
GNOC-9633,Syniverse -- Initial/Final Planned Maintenance (CN:108517-1) -SS7 - LINKS AND PORTS,"Planned Maintenance : CN:1085171 Customer Impact Planned maintenance is required on the STP. Brief link interruptions will occur. Traffic will be maintained through the mate Wentzville, MO STP. Impacted Products SS7 LINKS AND PORTS, Notification ID CN:1085171 Planned Maintenance Source Syniverse Notes Dallas TX BLUE STP. affected point code ANSI 235000000 Timestamp Notification Date/Time (EST): 20250925 16:00 Start Date/Time (EST): October 9 2025 11:00 PM Eastern End Date/Time (EST): October 10 2025 6:00 AM Eastern Expected End Date/Time (EST): October 10 2025 6:00 AM Eastern Expected Duration 7 hours",Completed,P4-Low,Change,2025-09-25T06:53:22.687+0000,2025-10-10T10:00:20.006+0000,Arabinda Mishra,Syniverse_GRX,
GNOC-9236,HC:  SC:  WEBB FONTAINE - INCREASE IN LOST SERVICE ON SPACETEL BENIN (CSI),"Spotted some irregularities for S6 traffic for Webb Fontaine within past 24 hours during one of the first health checks on 8/21 when confirming data activity for customer, discovered gradual increase for lost service occurrences for this customer in Benin on Spacetel. Am working on a trace and will go from there. Sparkle’s incident ticket is Case CSFA00647022 Spikes in Lost Service are occurring again today, the 22nd, Attached pcaps show the DSREQs come in from Spacetel Benin within a few ms after the GTPv2 session is created and a Radius Start transaction gets sent. After further inspection, the Lost Service occurrences coincide with the rate of User Requests on a daily basis. Also, there are no current or recent SF tickets for this customer. Due to the lack of customer complaints, and also due to the constant rate of output and input octets appearing during the lost service transactions, I am closing this ticket out.",Completed,P4-Low,Incident,2025-08-21T15:32:52.327+0000,2025-10-10T08:04:53.428+0000,Lewie Spearman,,
GNOC-9787,Operation with Risk N° T509199742 impacting Orange's network,"Caution: This email originated outside of Semtech. This is an automatically generated message, please do not reply. To reply, kindly click on the following email address: programmes.travaux@orange.com Friday 26/Sep/2025 at 08:37 You MOBIQUITHINGS To GlobalNOC Correspondant MOBIQUITHINGS globalnoc@sierrawireless.com Mourad BENHARKOUS mbenharkous@semtech.com CORRESPONDANT MOBIQUITHINGS mobnoc@sierrawireless.com E. Schippers Correspondant MOBIQUITHINGS eschippers@sierrawireless.com Stéphane Savonitto Correspondant MOBIQUITHINGS ssavonitto@sierrawireless.com Network Data IP Correspondant MOBIQUITHINGS networkdataip@sierrawireless.com CUSTOMER SUPPORT Correspondant MobiquiThings EMEACustomerSupportTeam@semtech.com Support Technique Correspondant MobiquiThings NamEasttechsupportSWI@semtech.com NOC SEMTECH Correspondant MobiquiThings GlobalNOC@semtech.com Us CSC OWF LIMOGES MAZILLE Laetitia, SM quality assistant Phone: Fax: Email: programmes.travaux@orange.com Operation with Risk N° T509199742 impacting Orange's network Hello, As part of improving the quality of our infrastructures, we need to work on our network soon. Characteristics of the operation Type: Operation with Risk Nature: Mobile France Intervention Cause: Evolution Beginning: Wednesday 22/Oct/2025 at 00:30 (UTC + 02:00 ) End: Wednesday 22/Oct/2025 at 08:00 (UTC + 02:00 ) Duration: Impact: Without disruption Number of impacted services: 1 Comment for operator affected by traffic: Changement sans action nécessaire et sans dégradation ou coupure de service. Zone géographique concernée : France + international Type équipement touché : serveurs applicatif et sig Roaming Sponsor Projet upgrade firmware RRS : Upgrade firmware du serveur applicatif OFR oprrsr3ofrapp01 de la room 3 Upgrade firmware RRS project : Upgarding firmware of application server OFR oprrsr3ofrapp01 in room3 Changement sans action nécessaire et sans dégradation ou coupure de service. Zone géographique concernée : France + international Type équip",Awaiting implementation,P3-Medium,Change,2025-10-09T10:03:19.747+0000,2025-10-10T06:30:48.869+0000,yjadhav,,
GNOC-8715,AMM99 - upgrade from version 2.17.5 to 2.17.6.1,"Description Migration of the hosted server AMM99 from 2.17.5 to 2.17.6.1 Impact: The AMM web User Interface will be unavailable during the maintenance window. Gateway operation will be unaffected during this change window. The IP address of this server will change following the procedure. Please confirm with your IT team if your firewall restricts access by IP address. There will be no change to the instance's FQDN. All gateways should be configured to use the server FQDN. In case a gateway running supported firmware and configuration stops checking in after the upgrade, please reboot the gateway and troubleshoot prior to opening a new support case. AMM 2.17.6.1 2.17.6.1 is a patch release. This update addresses a performance issue discovered in AMM 2.17.6 that only impacts heavily loaded AMM systems. For more info, please review the release notes at",Awaiting implementation,P3-Medium,Change,2025-07-03T14:04:19.088+0000,2025-10-10T05:16:33.902+0000,Suyash Ahire,,
GNOC-9797,"SHIFT REPORT: Rashied Lataillade - October 9, 2025","SHIFT REPORT: Rashied Lataillade October 9, 2025 Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investigation information c. Time spent working on projects/other activities",Completed,P5-Lowest,Incident,2025-10-09T13:20:02.523+0000,2025-10-10T00:49:39.159+0000,Rashied Lataillade,,
GNOC-9796,"SHIFT REPORT: Preston Crump Oct 9, 2025","SHIFT REPORT: Preston Crump Oct 9, 2025",Completed,P5-Lowest,Incident,2025-10-09T13:03:47.568+0000,2025-10-09T23:20:12.086+0000,Preston Crump,,
GNOC-9529,INTERNAL: ECC SURGE IN 0 BYTE SESSION FOR num.vzwentp (NSI),"NAM support received customer complaint and has noticed surge in 0 byte sessions for ECC users starting on 9/11 at around 4:00 UTC: Main customer showing up in the ECC dashboard for this surge is Sentinel but others are appearing as well (UplinkPROD, Toyota Material Handling, Gardner Denver, Ethium (AVC), Neurio Technology Inc) ECC dashboard filtered for 0 byte sessions and based on the IP addresses: 192.168.2.6 through last octet of .11 Robert and I did speak briefly with Minh, an the IP addresses represent our Radius connection with Verizon…Verizon made some changes on 9/11, which most likely explains visiblity issues that are showing up in Data Insights, sans customer impact. Minh will be emailing Jordan at Verizon shortly. Current customer complaint is for Innovative FOTO (SF ticket 01884417 ) NRB 000011919606 ECC filtered for two way traffic based on IP addresses:",Open,P4-Low,Task,2025-09-15T18:23:34.539+0000,2025-10-09T19:25:44.612+0000,Lewie Spearman,,
GNOC-9287,HC:  VIAVI PA - SS7 UDTS - (SCCP) - NO TRANSLATIONS FOR THIS ADDRESS (NSI),"While analyzing the SS7 traffic within Explore QoS, an exorbitant amount of UDTSNo translations for this address Cause code rejects surfaced over the past 48 hours. No ULs are coming in from these particular GTs listed below ; however , Cancel Location Invokes are going out to these GTs associated with BICs, with both BICS MAR22 & BIS STR21 sending back SCCP: No translations for this address The most recent capture shows the repeat offenders are the following BICS GTs: 324750004129047 324750004129038 Recent captures on 8/31 indicate rise in UDTS for CLR invokes going out to 22995651082 (Moov Benin), while no fresh ULs come in for this GT from this particular VPLMN via JT. Could you please assist us in determining why we would be sending the Cancel Location Invokes to these GTs if we are not receiving any ULs or UL GPRSs for them?",Open,P4-Low,Problem,2025-08-27T18:22:31.206+0000,2025-10-09T19:05:38.253+0000,Anas Tablieh,Health_Check,
GNOC-9800,Decommission the HTTP Service on extranet1 and extranet1.fkt,"Turn off the httpd service on extranet1 and extranet1.fkt (actually, it is already turned off on extranet1.fkt, since it is the “standby” server). Part of the DB1 decommissioning project.",Manager Approval CR,P3-Medium,Change,2025-10-09T18:36:15.937+0000,2025-10-09T18:36:21.238+0000,Michael Criscolo,,
GNOC-9799,"Update the SMPP ""Destination"" Table for entries migrating from 10 to 15 Digit MSISDNs",Backup tbSMPPDest table in the SMS Router database. Make changes to the MSISDNs as directed by the sheet at this location: MOP link will be forthcoming.,Manager Approval CR,P3-Medium,Change,2025-10-09T18:21:03.949+0000,2025-10-09T18:21:07.590+0000,Michael Criscolo,,
GNOC-9777,"SHIFT REPORT: Arabinda Mishra - Oct 09, 2025","SHIFT REPORT: Arabinda Mishra Oct 09, 2025",Completed,P5-Lowest,Incident,2025-10-09T02:21:55.279+0000,2025-10-09T13:12:19.520+0000,Arabinda Mishra,,
GNOC-9778,SHIFT REPORT: Yash Jadhav - Oct'09 2025,SHIFT REPORT: Yash Jadhav Oct'09 2025,Completed,P5-Lowest,Incident,2025-10-09T03:44:20.214+0000,2025-10-09T13:08:16.915+0000,yjadhav,,
GNOC-9795,HLRBoostrap Configuration Change APN,HLRBoostrap Configuration Change APN,Manager Approval BAU,P3-Medium,Change,2025-10-09T12:56:34.649+0000,2025-10-09T12:56:38.432+0000,Mohamed Amine Elbahi,,
GNOC-9793,Add new GT for Sparkle ,"Sparkle sent update GT Mapping, action needed to add GT for : MegaFon, Open Joint Stock Company. add below record on HLR: gtprefix: 39335884078. hpegrplabel: RUSRUSNWITASI MCC MNC: 250 02",Completed,P3-Medium,Change,2025-10-09T12:26:18.089+0000,2025-10-09T12:26:20.724+0000,Anas Tablieh,,
GNOC-9782,"ALERT: Lumen Technologies LSP-MSN Inter-site 443976315 Circuit Down, because of Maintenance (NSI)","Lumen Technologies LSP < > MSN Intersite 443976315 Circuit Down. No Impact due to Redundancy. At 20251009 17:09 UTC the Lumen Technologies 443976315 intersite circuit was Down between Semtech’s Madison and Lithia Springs data centers. GNOC engaged the provider to investigate to confirm any change activities or issues that need to be address on the Lumen network. GNOC got feedback from Lumen that the circuit is down is because of a planned maintenance . (Maintenance time 05:00 UTC to 11:00 UTC) Lumen Maintenance Ticket Number → P270B002 GNOC found that, email was shared from Lumen but we did not received it because of issues with Mimecast email filtering system. FINAL Update: Circuit is UP, Lumen updated that the issue was because of a planned maintenance which GNOC was not aware off. But later it was found that GNOC did not receive the corresponding email from Lumen because of issues with Mimecast email filtering system Start Time: October 9, 2025 17:09 UTC Stop Time: October 9, 2025 17:53 UTC. Pre: Post:",Completed,P4-Low,Incident,2025-10-09T05:42:06.509+0000,2025-10-09T11:05:50.838+0000,Arabinda Mishra,Lumen,
GNOC-9776,"SHIFT REPORT: Sean Yen - Oct 08, 2025",Using the SHIFT REPORT ticket to record: a. Health Checks b. “Benign/Brief Spike” investion information c. Time spent working on projects/other activities,Completed,P5-Lowest,Incident,2025-10-08T23:14:36.858+0000,2025-10-09T11:02:47.061+0000,syen,,
GNOC-9673,ALERT IMPROVEMENT REQUEST - ota-microservices; production 2 consecutive weeks of alert spikes,"Greetings The GNOC has been receiving an exorbitant amont of ota alerts, beginning at around the 8th of September … Week 39 showed 196 alerts for ota type of alerts Week 38 had 129 Week 37 had 217 Although, recent conversations via previous ticket 9492 indicated there were attempt to get these alerts deactivated or changed to a P4 priority, we have still received 46 alerts over the weekend and through 9/29. Can we confirm that the trigger is adjusted to where the GNOC isn’t getting notified for NSI type alerts? ota (129) otav2production: threshold of High Traceback Count on smsreceiverapi exceeded: current value otamicroservices: High Target Response Time otamicroservicesalb Value: 14.83 75 alerts linked to GNOC9492 otav2production: threshold of High Failure count on Workflows not met: current value 0.000000 otamicroservices: HTTP 4xx Error /ecs/customsmswaftask Value: 1.00 otamicroservices: High Target Response Time otasmscalb Value: 0.02",Open,P4-Low,Task,2025-09-29T20:08:32.296+0000,2025-10-09T10:30:59.751+0000,Faycal Noushi,ALERT_IMPROVEMENT,
GNOC-9785,Lumen Maintenance - Circuit ID : 443976315 - Maintenance # 32791625 -- Alternate Day,"Scheduled Maintenance #: 32791625 Summary: Lumen will perform URGENT scheduled maintenance as part of a complex and highly coordinated project to roll fiber in order to improve network reliability, proactively avoid outages, upgrade capacity for customers and to prevent future service interruptions to customer services. Lumen sincerely apologizes for any inconvenience caused by this maintenance . Updates: 20251007 18:35:23 GMT This maintenance is scheduled. Customer Impact: 327916251 Start End 20251014 05:00 GMT (Greenwich Mean Time) 20251014 11:00 GMT (Greenwich Mean Time) 20251014 00:00 CDT (Central Daylight Time) 20251014 06:00 CDT (Central Daylight Time) Maintenance Location(s): PLAINFIELD, IL USA; BROADVIEW, IL USA Customer Name Circuit ID Alt Circuit ID Bandwidth A Location Z Location Impact Type Maximum Duration Order Number SIERRA WIRELESS AMERICA, INC VC 443976315 N/A 10 GIG 375 RIVERSIDE PKWY LITHIA SPRINGS GA USA 5515 NOBEL DR FITCHBURG WI USA Outage 30 minutes Alternate Night: 327916252 Start End 20251015 05:00 GMT (Greenwich Mean Time) 20251015 11:00 GMT (Greenwich Mean Time) 20251015 00:00 CDT (Central Daylight Time) 20251015 06:00 CDT (Central Daylight Time) Click here to open a case for assistance on this scheduled maintenance via Email. Click here for immediate information on scheduled maintenances via the Lumen Customer Portal. Click here to manage your notification subscriptions via the Lumen Portal. Click here to open a case for assistance on this scheduled maintenance via the Lumen Customer Portal. Network Change Management Team Lumen 18552446468 option 1 The information in this communication is confidential and may not be disclosed to third parties or shared further without the express permission of Lumen.",Awaiting implementation,P4-Low,Change,2025-10-09T08:44:48.450+0000,2025-10-09T08:45:28.676+0000,Arabinda Mishra,Lumen,
GNOC-9784,Lumen Maintenance - Circuit ID : 443976315 - Maintenance # 32791625,"Scheduled Maintenance #: 32791625 Summary: Lumen will perform URGENT scheduled maintenance as part of a complex and highly coordinated project to roll fiber in order to improve network reliability, proactively avoid outages, upgrade capacity for customers and to prevent future service interruptions to customer services. Lumen sincerely apologizes for any inconvenience caused by this maintenance . Updates: 20251007 18:35:23 GMT This maintenance is scheduled. Customer Impact: 327916251 Start End 20251014 05:00 GMT (Greenwich Mean Time) 20251014 11:00 GMT (Greenwich Mean Time) 20251014 00:00 CDT (Central Daylight Time) 20251014 06:00 CDT (Central Daylight Time) Maintenance Location(s): PLAINFIELD, IL USA; BROADVIEW, IL USA Customer Name Circuit ID Alt Circuit ID Bandwidth A Location Z Location Impact Type Maximum Duration Order Number SIERRA WIRELESS AMERICA, INC VC 443976315 N/A 10 GIG 375 RIVERSIDE PKWY LITHIA SPRINGS GA USA 5515 NOBEL DR FITCHBURG WI USA Outage 30 minutes Alternate Night: 327916252 Start End 20251015 05:00 GMT (Greenwich Mean Time) 20251015 11:00 GMT (Greenwich Mean Time) 20251015 00:00 CDT (Central Daylight Time) 20251015 06:00 CDT (Central Daylight Time) Click here to open a case for assistance on this scheduled maintenance via Email. Click here for immediate information on scheduled maintenances via the Lumen Customer Portal. Click here to manage your notification subscriptions via the Lumen Portal. Click here to open a case for assistance on this scheduled maintenance via the Lumen Customer Portal. Network Change Management Team Lumen 18552446468 option 1 The information in this communication is confidential and may not be disclosed to third parties or shared further without the express permission of Lumen.",Awaiting implementation,P4-Low,Change,2025-10-09T08:42:45.338+0000,2025-10-09T08:43:15.931+0000,Arabinda Mishra,Lumen,
GNOC-9779,HC : (SC) Temporary Decrease in 0-Byte Data Sessions for ECC Customer Sentinel-prod (NSI),"On 9th October’2025 during GNOC’s regular HC, GNOC observed a temporary drop in start/stop traffic for ECC Customer Sentinelprod via Verizon Wireless in USA. GNOC investigated more in OpenSearch & observed that there was decrease in 0byte session. More keynotes as follows, Note : GNOC did not receive any alerts related to this drop. Final Status → GNOC monitored KPIs & observed stability, hence completing the ticket. Keynotes as Follows: Customer : Sentinelprod Error Type: Decrease in 0Byte sessions Traffic Procedure: START/STOP Traffic Traffic type: Radius Roaming Partner: Direct Agreement (ECC) VPLMN: Verizon Wireless Country: USA Start Time: 04:35 UTC End Time: 05:15 UTC Duration: 40 Minutes Customer Impact: No Customer Impact as there was temporary decrease in 0byte sessions. There were no impact on 2way sessions.",Completed,P4-Low,Incident,2025-10-09T05:11:18.604+0000,2025-10-09T07:31:35.608+0000,Arabinda Mishra,ECC,Enhanced Carrier Connectivity / Local MNO
